Year,Month,Day,Steps,Distance,NetCal,GrossCal,Elevation,ActTime,StepGoal,DistanceGoal,NetCalGoal
2015,8,6,4832,3621,172.0,2239.0,0.0,3998,0,0,0
2015,8,7,8082,6053,315.0,2382.0,0.0,9948,10000,0,0
2015,8,8,4552,3408,202.0,2269.0,0.0,7057,10000,0,0
2015,8,9,670,499,42.0,2110.0,0.0,3418,10000,0,0
2015,8,10,13157,9865,492.0,2560.0,0.0,10304,10000,0,0
2015,8,11,15093,11315,654.0,2721.0,0.0,10252,10000,0,0
2015,8,12,6213,4647,257.0,2324.0,0.0,7077,10000,0,0
2015,8,13,12800,9595,517.0,2584.0,0.0,8826,10000,0,0
2015,8,14,6064,4545,351.0,2418.0,0.0,7694,10000,0,0
2015,8,15,6755,5063,397.0,2464.0,0.0,10935,10000,0,0
2015,8,16,970,726,40.0,2107.0,0.0,2901,10000,0,0
2015,8,17,4036,3026,175.0,2243.0,0.0,7855,10000,0,0
2015,8,18,11713,8775,484.0,2551.0,0.0,11633,10000,0,0
2015,8,19,2923,2191,125.0,2192.0,0.0,5221,10000,0,0
2015,8,20,12205,9149,497.0,2565.0,0.0,11968,10000,0,0
2015,8,21,5561,4167,1023.0,3091.0,0.0,11825,10000,0,0
2015,8,22,4420,3312,191.0,2258.0,0.0,8308,10000,0,0
2015,8,23,4094,3066,177.0,2244.0,0.0,7600,10000,0,0
2015,8,24,4828,3618,196.0,2264.0,0.0,7738,10000,0,0
2015,8,25,1527,1143,77.0,2144.0,0.0,3952,10000,0,0
2015,8,26,9305,6977,374.0,2441.0,0.0,8746,10000,0,0
2015,8,27,500,368,26.0,2093.0,0.0,745,10000,0,0
2015,8,28,34,23,1.0,2069.0,0.0,336,10000,0,0
2015,8,29,5963,4470,262.0,2330.0,0.0,8854,10000,0,0
2015,8,30,1711,1282,81.0,2149.0,0.0,5711,10000,0,0
2015,8,31,4542,3399,249.0,2317.0,0.0,5113,10000,0,0
2015,9,1,6033,4524,273.0,2341.0,0.0,7287,10000,0,0
2015,9,2,15269,11436,592.0,2659.0,0.0,11579,10000,0,0
2015,9,3,11471,8598,516.0,2417.0,0.0,8100,10000,0,0
